PMAID,name,lng,lat,Adult Fitness Equipment,Art in the Park,Baseball/Softball Fields,Basketball Courts,Dog Off Leash Areas,Drinking fountains,Fire Pits,Fishing piers,Football Fields,Gardens,Grills,Hand Carry Boat Launches,Motorized Boat Launches,Picnic Sites,Play Area,Restrooms,Skate Park,Soccer Fields,Spray Parks,Swimming Beaches,Tennis Courts,Track Fields,Trails,Views,Volleyball Courts,Wading Pools
3972,Lakeridge Playfield,-122.246841,47.510319,,,yes,yes,,yes,,,,,,,,,yes,yes,,,,,yes,,,,,
365,Lakeview Park,-122.284732,47.62205,,,,,,,,,,,,,,,,,,,,,,,yes,yes,,
366,Lakeview Place,-122.325705,47.62939,,,,,,,,,,,,,,,,,,,,,,,,,,
4040,Lakewood Moorage,-122.268295,47.562981,,,,,,,,,,,,yes,,,,,,,,,,,,,,
414,Lakewood Playfield,-122.27006,47.558831,,,yes,,,yes,,,,,,,,,yes,yes,,yes,,,,,,,,
4024,Lakewood Triangle,-122.28372,47.576058,,,,,,,,,,,,,,,,,,,,,,,,,,
3096,Lambert Place,-122.283837,47.632017,,,,,,,,,,,,,,,,,,,,,,,,,,
3929,Landing Parkway,-122.283396,47.573861,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Laurelhurst Playfield,-122.278019,47.65989,,yes,yes,,,yes,,,,,,,,,yes,,,yes,,,yes,,,,,
4162,Laurelhurst Triangle,-122.277487,47.652696,,,,,,,,,,,,,,,,,,,,,,,,,,
4482,LaVilla Meadows Natural Area on Thornton Creek,-122.299926,47.701262,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Lawton Park,-122.391158,47.655065,,,yes,,,,,,,,,,,,yes,,,yes,,,,,yes,,,
367,Leschi Park,-122.286548,47.600931,,,,,,yes,,,,,,yes,yes,,yes,yes,,,,,yes,,yes,yes,,
263,Leschi-Lake Dell Natural Area,-122.287835,47.604695,,,,,,,,,,,,,,,,,,,,,,,,,,
4076,Lewis Park,-122.314435,47.592857,,,,,,,,,,,,,,,,,,,,,,,,,,
4479,Licorice Fern Natural Area on Thornton Creek,-122.315433,47.723106,,,,,,,,,,,,,,,,,,,,,,,,,,
286,Licton Springs Park,-122.338735,47.698542,,,,,,yes,,,,,yes,,,,yes,yes,,,,,,,yes,,,
460,Lincoln Park,-122.396012,47.531176,,yes,yes,,,yes,,,yes,,yes,yes,,yes,yes,yes,,yes,,,,,yes,yes,,yes
4419,Linden Orchard Park,-122.347727,47.678016,,,,,,,,,,,,,,,yes,,,,,,,,,,,
