pmaid,name,lng,lat,adult_fitness_equipment,art_in_the_park,baseball/softball_fields,basketball_courts,dog_off_leash_areas,drinking_fountains,fire_pits,fishing_piers,football_fields,gardens,grills,hand_carry_boat_launches,motorized_boat_launches,picnic_sites,play_area,restrooms,skate_park,soccer_fields,spray_parks,swimming_beaches,tennis_courts,track_fields,trails,views,volleyball_courts,wading_pools
374,East Montlake Park,-122.301441,47.646662,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4241,East Portal Viewpoint,-122.287893,47.590222,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
329,East Queen Anne Playground,-122.353786,47.636139,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,yes
3977,Eastlake Triangle,-122.328918,47.62841,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4012,Eastmont Place,-122.405566,47.637689,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
1000003,Eddie Vine Boat Ramp,-122.403454,47.686852,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
318,Ella Bailey Park,-122.39106,47.640584,no,no,no,no,no,yes,no,no,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no
3920,Emma Schmitz Memorial Overlook,-122.40712,47.562898,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
1653,Endolyne Park,-122.39438,47.514542,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4454,Ercolini Park,-122.394275,47.515021,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
452,Fairmount Playfield,-122.380549,47.554041,no,no,yes,no,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no
2975,Fairview Park,-122.325368,47.647413,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
4155,Fairview Walkway,-122.328967,47.630501,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no
3149,Fauntleroy Creek Ravine,-122.392498,47.522599,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
453,Fauntleroy Park,-122.383222,47.5192,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
3921,Fauntleroy Place,-122.379834,47.562715,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
413,Ferdinand Street Boat Ramp,-122.264912,47.561358,no,no,no,no,no,no,no,no,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,no,no
351,Firehouse Mini Park,-122.308558,47.608448,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
3910,First Hill Park,-122.325512,47.611906,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
3948,Fletcher Place,-122.261484,47.519093,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
363,Flo Ware Park,-122.295868,47.599557,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no
312,Freeway Park - Jim Ellis Freeway Park,-122.330904,47.609472,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
4011,Fremont Canal Park,-122.357864,47.651802,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
4424,Fremont Peak Park,-122.356671,47.661108,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no
392,Frink Park,-122.290256,47.599506,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no
287,Froula Playground,-122.313978,47.680538,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no
353,Garfield Playfield,-122.301412,47.607098,no,yes,yes,no,no,yes,no,no,yes,no,yes,no,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no
293,Gas Works Park,-122.334906,47.645639,no,yes,no,no,no,yes,no,no,no,no,yes,no,no,yes,yes,yes,no,no,no,no,no,no,no,yes,no,no
409,Genesee Park and Playfield,-122.278744,47.564856,no,no,no,no,yes,yes,no,no,no,no,yes,no,no,yes,yes,yes,no,yes,no,no,no,no,yes,no,no,no
410,Georgetown Playfield,-122.321396,47.55162,no,no,yes,yes,no,yes,no,no,no,no,no,no,no,no,yes,yes,no,yes,yes,no,yes,no,no,no,no,no
3759,Gerber Park,-122.296568,47.607709,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no,no
